web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574849924-1407;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-ruzomberok-w/tGPdxSYt/;21.10.2017 - 18:00;(19:14, 11:12, 14:9, 12:15);;
1574849870-1389;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Ruzomberok W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/ruzomberok-w-good-angels-kosice-w/YojSUPHu/;08.04.2018 - 17:00;(9:16, 10:17, 19:15, 14:12);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849855-1384;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-ruzomberok-w/KxLe8oTi/;28.03.2018 - 18:00;(17:26, 11:13, 8:19, 12:15);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849834-1377;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Poprad W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-poprad-w/0Mwpp9AT/;14.03.2018 - 19:00;(13:19, 19:8, 17:12, 23:17);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849746-1350;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Nitra W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-nitra-w/vaXlKKkF/;01.02.2018 - 18:00;(15:15, 12:14, 12:13, 14:11, 7:15);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849794-1365;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-piestanske-cajky-w/z7E28Nj3/;17.02.2018 - 17:30;(17:30, 14:25, 15:19, 9:13);Winners stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Gj57weDT
1574849782-1361;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Good Angels Kosice W - Poprad W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/good-angels-kosice-w-poprad-w/UTkbccr2/;27.01.2018 - 18:00;(28:6, 23:16, 18:12, 22:17);Winners stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Gj57weDT
1574849885-1394;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Slovan Bratislava W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-slovan-bratislava-w/YiieKgDe/;02.10.2017 - 18:00;;;
1574849888-1395;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-good-angels-kosice-w/tvzm4yOj/;04.10.2017 - 18:00;(12:28, 10:20, 8:22, 15:20);;
1574849960-1419;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-piestanske-cajky-w/d4P0fRfP/;18.11.2017 - 15:00;(7:29, 7:18, 6:21, 4:13);;
