web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574947431-9202;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;USK Prague W - KP Brno W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/usk-prague-w-kp-brno-w/tlJOYW3I/;01.02.2013 - 18:00;(33:20, 29:10, 28:16, 27:9);;
1574947127-9103;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slavia Prague W - Pardubice W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slavia-prague-w-pardubice-w/82krLbHS/;06.10.2012 - 18:00;(28:25, 24:15, 24:6, 17:20);;
1574947464-9213;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - Chance U19 W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-chance-u19-w/G29ZjEJn/;10.02.2013 - 16:00;(21:18, 10:18, 19:22, 5:16);;
1574946918-9035;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slavia Prague W - VS Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slavia-prague-w-vs-prague-w/08fVc7zr/;24.03.2013 - 19:00;(20:26, 22:23, 23:21, 24:22);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574947422-9199;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Hradec Kralove W - Karlovy Vary W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/hradec-kralove-w-karlovy-vary-w/0GSTqcCJ/;26.01.2013 - 16:00;(13:11, 17:22, 29:20, 11:10);;
1574946836-9009;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Chance U19 W - Pardubice W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/chance-u19-w-pardubice-w/rijjgqkD/;13.03.2013 - 18:00;(40:16, 15:15, 18:15, 24:12);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
1574946995-9059;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Trutnov W - VS Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/trutnov-w-vs-prague-w/vFBXb1J2/;03.04.2013 - 18:00;(15:12, 21:14, 22:16, 12:13);Play Offs;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=4bjnbXJj
1574947173-9118;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;VS Prague W - Hradec Kralove W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/vs-prague-w-hradec-kralove-w/zk99baMl/;17.10.2012 - 18:00;(24:19, 15:23, 18:24, 18:14);;
1574947019-9067;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Zabiny Brno W - Hradec Kralove W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/zabiny-brno-w-hradec-kralove-w/8pY1ok4l/;13.04.2013 - 17:00;(23:18, 8:7, 23:11, 19:14);Play Offs;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=4bjnbXJj
1574947329-9170;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Hradec Kralove W - Trutnov W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/hradec-kralove-w-trutnov-w/xtGuImN9/;15.12.2012 - 16:00;(25:13, 9:21, 22:15, 17:13);;
1574947242-9141;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Hradec Kralove W - Chance U19 W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/hradec-kralove-w-chance-u19-w/QuDydoqg/;10.11.2012 - 16:00;(27:16, 25:20, 22:8, 28:20);;
1574946905-9031;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slovanka W - Slavia Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slovanka-w-slavia-prague-w/MNM8t657/;17.03.2013 - 17:30;(22:20, 14:26, 14:17, 21:16);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574946866-9018;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Hradec Kralove W - Zabiny Brno W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/hradec-kralove-w-zabiny-brno-w/SIGWEKab/;16.02.2013 - 18:30;(13:12, 17:14, 20:16, 12:16);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574947091-9091;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slavia Prague W - KP Brno W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slavia-prague-w-kp-brno-w/v79391IG/;29.09.2012 - 18:00;(19:25, 15:25, 19:27, 10:14);;
1574946956-9047;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Tisnov W - Karlin W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/tisnov-w-karlin-w/jPmC60pk/;11.05.2013 - 17:00;(22:19, 14:14, 11:18, 15:19);Relegation;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=dti7MfR3
1574947362-9181;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Karlovy Vary W - Trutnov W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/karlovy-vary-w-trutnov-w/lhZrDbyr/;06.01.2013 - 16:30;(12:22, 19:11, 15:17, 20:15);;
1574946839-9010;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Karlin W - Karlovy Vary W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/karlin-w-karlovy-vary-w/pdUYHSRD/;16.03.2013 - 17:00;(13:24, 13:25, 11:17, 19:17);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
